,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
1184,300273,和佳股份,0.13,-23.94,3.02,4.38,-0.28,10187.38,-18.58,,08-27
1185,000900,现代投资,0.34,41.0,,4.81,,34238.88,43.29,,08-27
1186,601010,文峰股份,0.08,-33.33,,3.68,,14867.08,-33.77,,08-27
1187,600624,复旦复华,0.04,-2.65,,2.16,,2322.37,26.65,,08-27
1188,000533,万家乐,0.07,-48.03,,3.27,,4568.2,-47.81,,08-27
1189,300370,安控科技,-0.02,-43.72,1.48,-1.37,-0.11,-1104.73,24.01,,08-27
1190,603601,再升科技,0.2,91.55,,6.32,,3034.53,105.63,10派5,08-27
1191,600313,农发种业,0.01,54.17,,0.46,,805.41,358.92,,08-27
1192,600331,宏达股份,0.01,-127.13,,0.55,,2526.96,-127.19,,08-27
1193,000671,阳光城,0.04,-84.0,,1.41,,17107.37,-46.35,,08-27
1194,300489,中飞股份,0.12,-74.46,9.75,2.49,-0.62,1086.75,-31.9,,08-27
1195,600790,轻纺城,0.2,25.0,,5.23,,21063.82,23.36,,08-27
1196,600807,天业股份,0.08,-27.27,,3.78,,6850.23,8.06,,08-27
1197,300214,日科化学,0.11,-8.33,3.27,3.33,-0.13,4446.17,-10.66,,08-27
1198,300230,永利股份,0.26,47.37,5.12,5.2,0.11,5389.32,78.86,,08-27
1199,000807,云铝股份,0.03,-160.0,,0.9,,5099.3,-167.77,,08-27
1200,600861,北京城乡,0.13,4.24,,1.74,,4053.12,4.29,,08-27
1201,000828,东莞控股,0.39,-2.41,,8.45,,40414.38,-2.42,,08-27
1202,300262,巴安水务,0.22,53.85,2.02,10.01,-0.4,8180.65,101.39,,08-27
1203,600894,广日股份,0.38,-6.06,,5.01,,33075.74,-6.05,,08-27
1204,300278,华昌达,0.11,0.0,2.82,4.14,-0.05,6239.89,3.26,,08-27
1205,600167,联美控股,0.46,-26.08,,16.22,,31576.07,138.24,,08-27
1206,002229,鸿博股份,-0.06,178.95,,-2.2,,-1896.5,179.52,,08-27
1207,600650,锦江投资,0.23,11.0,,3.78,,12784.13,11.15,,08-27
1208,002058,威尔泰,-0.02,-66.67,,-1.18,,-213.23,-67.06,,08-27
1209,601717,郑煤机,0.03,-25.0,,0.44,,4221.77,-28.26,,08-27
